999999,"Gestoría Llorens","LLORENS"
1,"Grupo M-Automoción","EME"
2,"Grupo Movento","MOVE"
3,"Automoviles Fersan S.A.","FER"
4,"Alviautos Vilella S.L.","ALVI"
5,"Sherpas Fiore S.L.","SHER"
6,"Carsway Solutions S.L.","WAY"
7,"Antoni Fauria S.L.","FAU"
8,"Motor Munich S.A.","MUN"
9,"Serga S.A.","SER"
10,"Huguet Hermanos S.A.","HUG"
11,"Ana Maria Olmos Navarro","OLMO"
12,"Viresa Renting S.A.","VIR"
13,"Romauto Grup Concessionaris S.L.","RTO"
14,"Automocion Caravaca S.A.","CARA"
15,"Maria Corominas Motors S.L.","MC"
16,"Construactiva Integral D Edificacio","CONS"
17,"Manuel Varela Gonzalez S.L.","VARE"
18,"Romacar Serveis Generals S.L. ","SER"
19,"Romacar Abs S.L.","MACA"
20,"Automobils J. Guix S.L.","GUIX"
21,"Manuel Perez Serrabona Gonzalez","PERE"
22,"C Miro Motor S.L.","MIRO"
23,"Maresmovil S.L.","MAR"
24,"Concordia Motors S.L.","CON"
25,"Auto Roma 94 S.L.","AROM"
26,"Italonda S.L.","ITA"
27,"Autos Montalt S.A.","MON"
28,"Honda Taule S.L.","HON"
29,"Selvauto Conncessionari S.L.","SEL"
30,"Hermanos Moreno Bertran S.L.","RENO"
31,"Nieto Marcelo Automoviles S.L.","NIE"
32,"Joumovil S.A.","JOMO"
33,"Automobils Gil Car S.L.","GIL"
34,"Automoviles Gravina S.A.","GRAVI"
35,"Control Motor Serveis Automobilistics S.L.","SERVE"
36,"Leandro Toran Puig","TORA"
37,"Zona Track S.L.","ZON"
38,"Auto Palas S.A.","PAL"
39,"Miriam Sanahuja Gandul","FAUSA"
40,"Joan Motllor Corominas","JMC"
41,"Audi Retail Bcn S.A.U.","AUDI"
42,"Antonia Sanchez Guirao Fernandez","SAN"
43,"Bmw Barcelona S.L.","BMW"
44,"Talleres Clotet S.A.","CLOT"
45,"Viper Motor S.L.","VIP"
46,"Jose Maria Palet Vidal","PALET"
47,"Cilbarna S.L.","CLI"
48,"Rodriguez Fernandez, Jose Antonio","A1"
49,"Alicia Romero Cuevas","ALI"
50,"Helena Martinez Bonde Petersen","HELEN"
51,"Saga Gv Motors S.L.","GV"
52,"Grau Automocio S.L.","GRA"
53,"Isidro Moreno Lorente","ISI"
54,"Reactiva Global S.L.","REAC"
55,"Garcia Fernandez, Justo","GAR"
56,"Automocion Tomax S.L.","TOM"
57,"Jorge Donnay Bartres","DON"
58,"Auto 95 S.L.","A95"
59,"Area Moto  Outlet S.C.P.","AREA"
60,"Raisan Car S.L.","RAI"
61,"Blanca Monica Llano Navarro","LLANO"
62,"Munich Rent S.L. ,","CLI"
63,"Bmw Iberica S.A.","IBER"
64,"Tarbados S.A.","TARBA"
65,"Movil Begar Levante S.A.","MOVIL"
66,"Grupo Aneuker S.C.P.","ANEU"
67,"Arketipo Real Estate S.L.","ARKE"
68,"Perez Garcia Antonio","MODER"
69,"Maria Luisa Sistiaga Alvarez","SIS"
70,"Noelia Villellas Marsellach","NOE"
71,"Inmaculada Perales Lopez","PERA"
72,"Francesc Xavier Marba Barrera","CARE"
73,"Romagosa Y Compañía S.A.","RCIA"
74,"Muntaña, S.A.","MUNTA"
75,"Mmce Catalunya S.A.","MMC"
76,"Pons-Vancells, S.L.","PONS"
77,"Romagosa Automoviles S.L.","ROMA"
78,"Motos Sardenya S.L.","SAR"
79,"Diselauto S.L.","SCAN"
80,"Grunblau Motor S.A.","GRUN"
81,"Star Renting S.A.","STA"
82,"Tallers Am S.L.","AM"
83,"Granados Automovils S.L.","GRANA2"
84,"Joaquin Arnau, S.A.","ARNA"
85,"Reyes Carabel Pedreiras","REY"
86,"Autoredu Cars Shops S.L.","REDU"
87,"Losada Fernandez, Juan Antonio","PART"
88,"Atzavares S.L.","ATZA"
89,"Automocion Cardedeu S.L.","PART"
90,"Athlon Car Lease Spain S.A.","ATLO"
91,"Soney, S.A.","SONEY"
92,"Planta Recuperadora 22 S.L.","RECU"
93,"Automoviles Ramon Sabadell C.B.","RAMON"
94,"Automocion Lobauto S.L.","LOB"
95,"Huertas Motor S.L.","HUER"
96,"Renault Retail Group Bcn S.A.","REN"
97,"Automocio 2000 Bcn S.A.",2000
98,"Noguerola Motor S.L.","NOGUE"
99,"Moreno Moreno, Juan","MORE"
100,"Automoviles Dominguez Y Raul S.L.","DOM"
101,"Suñe S.A.","SUN"
102,"Auto Tremp S.A.","TREM"
103,"Tallers Laforja, S.L.","LAF"
104,"Auto Fuber S.A.","FUB"
105,"Garatge Internacional Robert Vidal S.A.","INTE"
106,"Talleres Domenech, S.L.","DOME"
107,"Control Motor S.A.","CON"
108,"Autosegre Motor S.L.","SEG"
109,"Agora Invest S.A.","AGORA"
110,"Euskoauto 2003 S.L.","EUS"
111,"Jounou S.A.","JOU"
112,"Penedescar S.A.","PEN"
113,"M Motors S.C.P.","TORS"
114,"Styl Auto 3 S.A.","STY"
115,"Autotran, S.L.","TRAN"
116,"Automotive Motor S.L.","MOTI"
117,"Fernandez Fernandez, Pablo","PAB"
118,"Fioremotor S.L.","FIORE"
119,"Quimmotor S.C.P.","QUIM"
120,"Samper Hernandez, Pablo","SAMPE"
121,"Er Motor S.C.P.","ER"
122,"Armagar S.L.","ARMA"
123,"Centrauto 2005 S.L.","CEN"
124,"Cetralog S.L.","CETRA"
125,"Vehiculos De Aragon S.L.","ARA"
